"Date","1 Month 5 Years Payer ATMF Implied BP Vol","3 Month 5 Years Payer ATMF Implied BP Vol","9 Month 5 Years Payer ATMF Implied BP Vol","1 Year 5 Years Payer ATMF Implied BP Vol","18 Month 5 Years Payer ATMF Implied BP Vol","2 Years 5 Years Payer ATMF Implied BP Vol","3 Years 5 Years Payer ATMF Implied BP Vol","4 Years 5 Years Payer ATMF Implied BP Vol","5 Years 5 Years Payer ATMF Implied BP Vol"
18-Jun-18,3.44968,3.59609,4.01802,4.15153,4.3063,4.46097,4.59064,4.64622,4.67717
19-Jun-18,3.52958,3.69078,4.05353,4.18293,4.32965,4.47659,4.60235,4.65608,4.68506
20-Jun-18,3.52169,3.75407,4.11271,4.23837,4.36552,4.49268,4.61812,4.67186,4.70098
21-Jun-18,3.61637,3.80023,4.14003,4.25263,4.37654,4.50057,4.61813,4.67176,4.70087
22-Jun-18,3.60059,3.80018,4.14002,4.25262,4.37654,4.50058,4.6184,4.67165,4.70011
25-Jun-18,3.64793,3.85632,4.18757,4.29262,4.39766,4.50042,4.61826,4.67185,4.70078
26-Jun-18,3.52958,3.7854,4.13634,4.24566,4.38212,4.5162,4.63404,4.68006,4.70867
27-Jun-18,3.64793,3.92742,4.20738,4.31684,4.43635,4.55549,4.6656,4.70767,4.72462
28-Jun-18,3.5527,3.87093,4.18146,4.30901,4.43228,4.5555,4.6656,4.7077,4.72465
29-Jun-18,3.50634,3.83979,4.18292,4.31253,4.42793,4.54711,4.66527,4.70761,4.72466
02-Jul-18,3.4419,3.75356,4.15195,4.28549,4.41268,4.53981,4.65767,4.70372,4.72461
03-Jul-18,3.46646,3.76146,4.14801,4.28546,4.41659,4.54773,4.66558,4.71557,4.7404
05-Jul-18,3.46646,3.74529,4.15981,4.30912,4.44026,4.57139,4.68924,4.73922,4.7641
06-Jul-18,3.41912,3.69836,4.12411,4.2539,4.39686,4.53983,4.67346,4.73134,4.7641
09-Jul-18,3.37178,3.68257,4.12434,4.25395,4.39691,4.53987,4.67349,4.73531,4.77199
10-Jul-18,3.34022,3.68257,4.11536,4.25395,4.39633,4.53987,4.67349,4.73926,4.77988
11-Jul-18,3.37178,3.72986,4.12707,4.27758,4.41606,4.55563,4.68927,4.74321,4.77988
12-Jul-18,3.24554,3.63517,4.05208,4.20656,4.3484,4.49251,4.63404,4.68403,4.71673
13-Jul-18,3.29288,3.65095,4.04147,4.18289,4.32806,4.47672,4.61824,4.66431,4.69309
16-Jul-18,3.20293,3.6399,4.03244,4.175,4.31743,4.46092,4.60245,4.6485,4.67728
17-Jul-18,3.12719,3.5638,3.99324,4.13401,4.28113,4.42937,4.57878,4.62483,4.65361
18-Jul-18,3.12088,3.55749,3.97115,4.11192,4.2661,4.42152,4.57089,4.61694,4.64573
19-Jul-18,3.20609,3.57401,4.00044,4.12454,4.27576,4.42941,4.57089,4.61694,4.64572
