Date,Libor 1 Day Mid Rate,Libor 1 Month Mid Rate,Libor 2 Months Mid Rate,Libor 3 Months Mid Rate,Libor 4 Months Mid Rate,Libor 5 Months Mid Rate,Libor 6 Months Mid Rate,Libor 9 Months Mid Rate,Libor 1 Year Mid Rate,Libor 18 Months Mid Rate,Libor 2 Years Mid Rate,Libor 3 Years Mid Rate,Libor 4 Years Mid Rate,Libor 5 Years Mid Rate,Libor 6 Years Mid Rate,Libor 7 Years Mid Rate,Libor 8 Years Mid Rate,Libor 9 Years Mid Rate,Libor 10 Years Mid Rate,Libor 12 Years Mid Rate,Libor 15 Years Mid Rate,Libor 20 Years Mid Rate,Libor 25 Years Mid Rate,Libor 30 Years Mid Rate,Libor 40 Years Mid Rate,Libor 50 Years Mid Rate,Libor 60 Years Mid Rate
29-Mar-18,2.45464,2.36087,2.32298,2.31027,2.30464,2.30886,2.31705,2.35277,2.40213,2.50908,2.57951,2.65443,2.68927,2.7073,2.72181,2.73467,2.7489,2.76404,2.77865,2.80553,2.83057,2.84838,2.83886,2.82065,2.78125,2.74562,2.735
02-Apr-18,2.4683,2.36865,2.32696,2.31142,2.30383,2.30598,2.31171,2.34341,2.38802,2.48845,2.55725,2.63303,2.66911,2.69026,2.70535,2.71864,2.73331,2.74914,2.76447,2.79342,2.81998,2.8381,2.83001,2.81312,2.77313,2.73563,2.72563
03-Apr-18,2.42217,2.35744,2.33294,2.32125,2.31747,2.32243,2.33033,2.36933,2.4161,2.523,2.59516,2.67524,2.71366,2.73537,2.75004,2.76291,2.77692,2.79271,2.80793,2.83513,2.85982,2.87791,2.86895,2.85123,2.81124,2.77374,2.76374
04-Apr-18,2.50244,2.38934,2.34927,2.33334,2.32699,2.33052,2.33831,2.37581,2.42399,2.52905,2.5999,2.6811,2.72324,2.74716,2.76234,2.77568,2.78999,2.80549,2.82047,2.84879,2.87462,2.8938,2.88572,2.86873,2.82811,2.79122,2.78121
05-Apr-18,2.46103,2.38344,2.34267,2.33156,2.32854,2.33449,2.3425,2.38389,2.43557,2.54728,2.62373,2.71079,2.75487,2.78016,2.79812,2.81437,2.831,2.84823,2.86485,2.8942,2.92117,2.94174,2.93342,2.91634,2.87571,2.83883,2.82883
06-Apr-18,2.39514,2.38245,2.35103,2.33857,2.33336,2.33637,2.34216,2.37609,2.42069,2.52192,2.59146,2.66772,2.70663,2.72923,2.74532,2.75964,2.77479,2.79048,2.80567,2.83512,2.86202,2.88303,2.87484,2.8579,2.81727,2.7804,2.77039
09-Apr-18,2.48282,2.40872,2.36015,2.3375,2.32577,2.33014,2.33663,2.37126,2.41734,2.52102,2.59198,2.67089,2.70929,2.73144,2.74802,2.76279,2.7784,2.79405,2.80911,2.83781,2.86398,2.8837,2.87537,2.85829,2.81829,2.78079,2.77079
10-Apr-18,2.3562,2.40599,2.35813,2.3385,2.33227,2.33794,2.34577,2.38624,2.43456,2.54178,2.61288,2.69066,2.72669,2.74593,2.76194,2.77614,2.79102,2.80649,2.82132,2.84957,2.87535,2.89503,2.88625,2.86873,2.82872,2.78873,2.77873
11-Apr-18,2.31545,2.3811,2.34997,2.34,2.3397,2.34708,2.35674,2.39775,2.4475,2.55279,2.62182,2.69737,2.73432,2.75504,2.76943,2.78202,2.79577,2.81018,2.82398,2.85218,2.87785,2.89662,2.88858,2.87174,2.83173,2.78925,2.77925
12-Apr-18,2.30206,2.36513,2.34734,2.3475,2.35344,2.36531,2.37712,2.42487,2.4786,2.58977,2.66276,2.74473,2.78406,2.8052,2.81932,2.83165,2.84485,2.85859,2.8718,2.89853,2.92281,2.94188,2.93257,2.91448,2.87448,2.83198,2.82198
13-Apr-18,2.35051,2.3701,2.35428,2.35524,2.36275,2.37413,2.38693,2.43759,2.49397,2.6086,2.68202,2.7607,2.79468,2.81028,2.82166,2.8312,2.84255,2.85444,2.86642,2.89243,2.91595,2.93286,2.92353,2.9055,2.86549,2.82299,2.81299
16-Apr-18,2.35319,2.3772,2.36844,2.35533,2.35836,2.37135,2.38244,2.4349,2.49224,2.60908,2.68555,2.76384,2.79639,2.8108,2.82073,2.82888,2.83927,2.85027,2.86128,2.88588,2.90868,2.92494,2.91459,2.8961,2.8561,2.8136,2.8036
17-Apr-18,2.39231,2.39373,2.36546,2.35554,2.35978,2.37032,2.38176,2.43681,2.49517,2.60993,2.68333,2.7603,2.78865,2.79909,2.80906,2.81724,2.82706,2.83812,2.84918,2.8723,2.89355,2.90911,2.89785,2.87789,2.83789,2.79539,2.78539
18-Apr-18,2.36071,2.36167,2.35957,2.36018,2.36396,2.3775,2.39203,2.45282,2.51689,2.63796,2.71581,2.79845,2.83248,2.84761,2.85731,2.86512,2.87432,2.88472,2.89513,2.91679,2.93662,2.94976,2.93796,2.91806,2.87805,2.83557,2.82555
19-Apr-18,2.39782,2.35781,2.35629,2.36137,2.36665,2.38093,2.39479,2.45664,2.51945,2.64248,2.7232,2.8125,2.85394,2.87544,2.88971,2.90153,2.91279,2.9252,2.93761,2.96096,2.98255,2.99659,2.98609,2.96689,2.92689,2.88439,2.87439
20-Apr-18,2.43288,2.37222,2.35653,2.35911,2.36405,2.37835,2.3934,2.45945,2.52627,2.65431,2.73942,2.83574,2.88244,2.90922,2.9275,2.94268,2.95636,2.97064,2.98492,3.00902,3.03124,3.04495,3.03502,3.01639,2.97639,2.93389,2.92389
23-Apr-18,2.45466,2.36444,2.3575,2.35803,2.36082,2.37328,2.38933,2.45784,2.52665,2.658,2.74704,2.84665,2.89633,2.92556,2.94445,2.95964,2.97265,2.98626,2.99981,3.02172,3.0405,3.05079,3.03786,3.01678,2.97679,2.93429,2.92429
24-Apr-18,2.43086,2.36077,2.36103,2.36041,2.36262,2.37523,2.39141,2.46055,2.52658,2.65644,2.74117,2.83887,2.88796,2.91712,2.93984,2.95881,2.97396,2.98972,3.00547,3.03127,3.05338,3.06588,3.05519,3.03624,2.99624,2.95375,2.94375
25-Apr-18,2.3627,2.34042,2.35664,2.36668,2.37342,2.38854,2.40732,2.47703,2.54645,2.67656,2.76277,2.86338,2.91906,2.95403,2.98077,3.00326,3.02068,3.03815,3.05557,3.08196,3.10401,3.11746,3.10619,3.08682,3.04681,3.00431,2.99431
26-Apr-18,2.54781,2.37799,2.36199,2.35891,2.36088,2.37488,2.39005,2.4592,2.52862,2.65395,2.74564,2.8459,2.89797,2.9283,2.95157,2.97104,2.98731,3.00363,3.01936,3.04655,3.06946,3.08406,3.07266,3.05377,3.01377,2.97127,2.96127
27-Apr-18,2.58927,2.38353,2.36427,2.35765,2.36133,2.37219,2.38802,2.4557,2.52258,2.65726,2.73565,2.83314,2.88047,2.90726,2.92721,2.94343,2.95779,2.97219,2.9859,3.01072,3.03125,3.04375,3.03238,3.01164,2.97164,2.93039,2.91914
30-Apr-18,2.54131,2.37592,2.37164,2.36407,2.36975,2.3814,2.39652,2.46705,2.53433,2.67066,2.74778,2.8371,2.88012,2.90303,2.91895,2.93177,2.94285,2.95512,2.9667,2.99024,3.00946,3.02046,3.00796,2.98673,2.94674,2.90548,2.89423
01-May-18,2.50701,2.37906,2.36283,2.3557,2.36163,2.37527,2.39388,2.46659,2.53788,2.68158,2.76515,2.86194,2.90727,2.93143,2.94941,2.96377,2.97642,2.98963,3.00225,3.02614,3.04564,3.05689,3.04483,3.02404,2.98405,2.94154,2.93154
02-May-18,2.46524,2.38655,2.37544,2.36574,2.37163,2.38516,2.40271,2.47368,2.54579,2.68297,2.76366,2.85668,2.9018,2.9254,2.94307,2.95702,2.96986,2.98326,2.9961,3.02141,3.04226,3.05508,3.04333,3.02283,2.98282,2.94158,2.93032
03-May-18,2.44869,2.37972,2.37446,2.36115,2.37096,2.38276,2.40034,2.47097,2.5385,2.67238,2.74846,2.83801,2.88192,2.90639,2.92355,2.93755,2.95069,2.96443,2.97748,3.00269,3.02361,3.03608,3.02472,3.00466,2.96465,2.92339,2.91215
04-May-18,2.4046,2.37353,2.3801,2.37121,2.38275,2.39712,2.41659,2.49115,2.55617,2.69458,2.76835,2.8524,2.88974,2.90762,2.92364,2.93714,2.94995,2.96323,2.97597,3.00003,3.01981,3.03251,3.01963,2.9986,2.9586,2.91734,2.90608
07-May-18,2.33193,2.35675,2.37389,2.37078,2.38223,2.3973,2.41688,2.49097,2.55742,2.69323,2.76863,2.85598,2.89504,2.91415,2.93124,2.94648,2.95996,2.97404,2.98752,3.01187,3.03194,3.04381,3.03142,3.01134,2.97134,2.93009,2.91884
08-May-18,2.37216,2.34642,2.36439,2.35611,2.36669,2.38275,2.40554,2.48005,2.55079,2.69132,2.77122,2.86443,2.90855,2.93183,2.94889,2.96347,2.97666,2.99055,3.00389,3.02703,3.04573,3.05634,3.04355,3.02256,2.98255,2.94129,2.93004
09-May-18,2.42995,2.36394,2.37218,2.35918,2.3678,2.38317,2.40539,2.48205,2.55813,2.70129,2.78412,2.88333,2.92917,2.9549,2.97309,2.98878,3.0034,3.01803,3.03211,3.05615,3.0758,3.08676,3.07382,3.05273,3.01272,2.97147,2.96021
10-May-18,2.40378,2.37277,2.37706,2.3559,2.36412,2.38031,2.40143,2.4816,2.55791,2.70345,2.78603,2.88171,2.92259,2.94345,2.95959,2.97318,2.98665,3.00072,3.0142,3.03714,3.0564,3.06736,3.05427,3.03303,2.99303,2.95178,2.94053
